city	area	population	kPopulation
Красная	Закарпатская	2587 	1.0
Красноармейск	Донецкая	73300 	1.0
Красногоровка	Донецкая	16900 	1.0
Красноград	Харьковская	21900 	1.0
Краснодон	Луганская	49100 	1.0
Красноперекопск	Крым	31500 	1.0
Красный Лиман	Донецкая	28300 	1.0
Красный Луч	Луганская	99700 	1.0
Красятичи	Киевская	650 	1.0
Кременная	Луганская	25900 	1.0
Кременчуг	Полтавская	232407 	1.0
Кривая балка	Николаевская	1489 	1.0
Кривой Рог	Днепропетровская	685000 	1.0
Кролевец	Сумская	26200 	1.0
Кузнецовск	Ровенская	40200 	1.0
Купель	Ровенская	402 	1.0
Купчинцы	Винницкая	642 	1.0
Купянск	Харьковская	30900 	1.0
Курахово	Донецкая	22100 	1.0
Кутьковка	Харьковская	678 	1.0
Ладыжин	Винницкая	22500 	1.0
Лановцы	Тернопольская	8547 	1.0
Лебедин	Сумская	31500 	1.0
Левковичи	Житомирская	911 	1.0
Ленинское	Днепропетровская	3998 	1.0
Лисичанск	Луганская	136000 	1.0
Лозовая	Харьковская	60900 	1.0
Лохвица	Полтавская	13500 	1.0
Лубны	Полтавская	60300 	1.0
Луганск	Луганская	469000 	1.0
Лутугино	Луганская	18100 	1.0
Луцк	Волынская	218000 	1.0
Львов	Львовская	788000 	1.0
Любомль	Волынская	10200 	1.0
Люботин	Харьковская	22300 	1.0
Людвиновка	Киевская	270 	1.0
Магдалиновка	Днепропетровская	6493 	1.0
Макарово	Луганская	1786 	1.0
Макеевка	Донецкая	384000 	1.0
Малая Антоновка	Киевская	616 	1.0
Малая Виска	Кировоградская	14500 	1.0
Малин	Житомирская	29800 	1.0
Маломихайловка	Днепропетровская	3036 	1.0
Малый Алексин	Ровенская	798 	1.0
Марганец	Днепропетровская	54700 	1.0
Мариуполь	Донецкая	490000 	1.0
Мартыновка	Винницкая	737 	1.0
Марьинка	Донецкая	10800 	1.0
Марьяновка	Кировоградская	1155 	1.0
Мелитополь	Запорожская	173000 	1.0
Мена	Черниговская	13100 	1.0
Мерефа	Харьковская	22900 	1.0
Мечебилово	Харьковская	652 	1.0
Мигия	Николаевская	2099 	1.0
Миргород	Полтавская	46600 	1.0
Мироновка	Киевская	15900 	1.0
Мирча	Киевская	764 	1.0
Миусинск	Луганская	6400 	1.0
Михайло-Коцюбинское	Черниговская	3028 	1.0
Могилев-Подольский	Винницкая	36000 	1.0
Молодогвардейск	Луганская	28900 	1.0
Молочанск	Запорожская	8500 	1.0
Монастыриска	Тернопольская	6900 	1.0
Монастырище	Черкасская	9500 	1.0
Моровск	Черниговская	626 	1.0
Моршин	Львовская	9500 	1.0
Моспино	Донецкая	11900 	1.0
Мостиска	Львовская	8600 	1.0
Мукачево	Закарпатская	88000 	1.0
Надворная	Ивано-Франковская	22100 	1.0
Надточии	Харьковская	768 	1.0
Нежин	Черниговская	82000 	1.0
Немиров	Винницкая	11900 	1.0
Нетешин	Хмельницкая	36700 	1.0
Николаев	Львовская	15300 	1.0
Николаев	Николаевская	508000 	1.0
Николаевка	Полтавская	55 	1.0
Никополь	Днепропетровская	154000 	1.0
Новая Водолага	Харьковская	12800 	1.0
Новая Заря	Днепропетровская	150 	1.0
Новая Каховка	Херсонская	59000 	1.0
Новая Одесса	Николаевская	14300 	1.0
Новая Чертория	Житомирская	1886 	1.0
Новгород-Северский	Черниговская	15500 	1.0
Новенькое	Крым	511 	1.0
Новоазовск	Донецкая	13400 	1.0
Новоархангельск	Кировоградская	7624 	1.0
Нововолынск	Волынская	56400 	1.0
Новоград-Волынский	Житомирская	56100 	1.0
Новогродовка	Донецкая	18500 	1.0
Новоднестровск	Черновицкая	10344 	1.0
Новодружеск	Луганская	9900 	1.0
Новомиргород	Кировоградская	14600 	1.0
Новомихайловка	Донецкая	1439 	1.0
Новомосковск	Днепропетровская	77000 	1.0
Новоселица	Черновицкая	8600 	1.0
Новострельцовка	Луганская	926 	1.0
Новоукраинка	Кировоградская	20000 	1.0
Новояворовск	Львовская	27200 	1.0
Новый Буг	Николаевская	18100 	1.0
Новый Роздол	Львовская	28800 	1.0
Носовка	Черниговская	17000 	1.0
Обухов	Киевская	33000 	1.0
Овруч	Житомирская	18700 	1.0
Одесса	Одесская	1002000 	1.0
Ольховцы	Закарпатская	3374 	1.0
Ордановка	Полтавская	726 	1.0
Орджоникидзе	Днепропетровская	45400 	1.0
Ордо-Васильевка	Днепропетровская	485 	1.0
Орехов	Запорожская	20600 	1.0
Остер	Черниговская	7300 	1.0
Остров	Киевская	2127 	1.0
Острог	Ровенская	14200 	1.0
Открытое	Крым	296 	1.0
Очаков	Николаевская	18400 	1.0
Павлоград	Днепропетровская	132000 	1.0
Первомайск	Николаевская	83800 	1.0
Первомайск	Луганская	46900 	1.0
Первомайск	Днепропетровская	29300 	1.0
Первомайск	Кировоградская	323 	1.0
Первомайский	Харьковская	31200 	1.0
Перебыковцы	Черновицкая	2292 	1.0
Перевальск	Луганская	27700 	1.0
Перевозец	Ивано-Франковская	1041 	1.0
Перемышляны	Львовская	7100 	1.0
Переяслав-Хмельницкий	Киевская	31100 	1.0
Першотравенск	Житомирская	3633 	1.0
Першотравенск	Днепропетровская	29374 	1.0
Песочин	Харьковская	19900 	1.0
Песчаная	Одесская	3234 	1.0
Песчаный Брод	Кировоградская	2967 	1.0
Петровское	Луганская	14600 	1.0
Пивденное	Харьковская	8500 	1.0
Пинчуки	Киевская	614 	1.0
Пирятин	Полтавская	17900 	1.0
Погребище	Винницкая	11500 	1.0
Подгайцы	Тернопольская	3800 	1.0
Подгородное	Днепропетровская	19500 	1.0
Покотиловка	Харьковская	10100 	1.0
Покровка	Николаевская	177 	1.0
Пологи	Запорожская	22100 	1.0
Полонное	Хмельницкая	24700 	1.0
Полтава	Полтавская	319000 	1.0
Помошная	Кировоградская	11400 	1.0
Попасная	Луганская	26700 	1.0
Поповка	Крым	160 	1.0
Посад-Покровское	Херсонская	2349 	1.0
Почаев	Тернопольская	8700 	1.0
Приволье	Луганская	10300 	1.0
Прилуки	Черниговская	73000 	1.0
Приморск	Запорожская	13900 	1.0
Пустомыты	Львовская	10200 	1.0
Путивль	Сумская	19200 	1.0
Пятихатки	Днепропетровская	20200 	1.0
Рава-Русская	Львовская	9400 	1.0
Раговка	Киевская	531 	1.0
Радехов	Львовская	9300 	1.0
Радивилов	Ровенская	11100 	1.0
Радогоща	Житомирская	385 	1.0
Радомышль	Житомирская	16400 	1.0
Раздельная	Одесская	19500 	1.0
Рафайново	Закарпатская	974 	1.0
Рахов	Закарпатская	17000 	1.0
Редковцы	Черновицкая	4177 	1.0
Рени	Одесская	23300 	1.0
Ржищев	Киевская	8700 	1.0
Ровеньки	Луганская	58500 	1.0
Ровно	Ровенская	245000 	1.0
Рогатин	Ивано-Франковская	8800 	1.0
Родинское	Донецкая	13600 	1.0
Рожище	Волынская	14500 	1.0
Рожнов	Ивано-Франковская	5563 	1.0
Розлуч	Львовская	1268 	1.0
Ромны	Сумская	57300 	1.0
Рубежное	Луганская	74100 	1.0
Рудки	Львовская	5100 	1.0
Русская Лозовая	Харьковская	5018 	1.0
Садки	Полтавская	2939 	1.0
Садовое	Одесская	963 	1.0
Саки	Крым	30600 	1.0
Самбор	Львовская	39900 	1.0
Сарны	Ровенская	31100 	1.0
Сахутовка	Черниговская	418 	1.0
Свалява	Закарпатская	18600 	1.0
Сватово	Луганская	20800 	1.0
Свердловск	Луганская	83700 	1.0
Светловодск	Кировоградская	57900 	1.0
Светлодарск	Донецкая	13300 	1.0
Святогорск	Донецкая	4900 	1.0
Севастополь	Севастополь	360000 	1.0
Северодонецк	Луганская	131000 	1.0
Северск	Донецкая	13500 	1.0
Селидово	Донецкая	28600 	1.0
Семенов Яр	Харьковская	767 	1.0
Семеновка	Черниговская	9400 	1.0
Семеновка	Киевская	597 	1.0
Семёновка	Херсонская	1349 	1.0
Середина-Буда	Сумская	8000 	1.0
Симеиз	Крым	3501 	1.0
Симферополь	Крым	344000 	1.0
Синельниково	Днепропетровская	36400 	1.0
Скадовск	Херсонская	22000 	1.0
Скалат	Тернопольская	4500 	1.0
Скаржинцы	Хмельницкая	222 	1.0
Сквира	Киевская	18700 	1.0
Сколе	Львовская	6500 	1.0
Славута	Хмельницкая	37800 	1.0
Славутич	Киевская	26400 	1.0
Славянск	Донецкая	131000 	1.0
Словечно	Житомирская	1725 	1.0
Смела	Черкасская	81200 	1.0
Снежное	Донецкая	68900 	1.0
Снигиревка	Николаевская	17000 	1.0
Сокаль	Львовская	22600 	1.0
Сокиряны	Черновицкая	11300 	1.0
Соледар	Донецкая	13500 	1.0
Солоницевка	Харьковская	13000 	1.0
Сосновка	Львовская	13000 	1.0
Ставчаны	Львовская	1775 	1.0
Ставы	Киевская	1555 	1.0
Стани?ца Луга?нская	Луганская	13744 	1.0
Старая Покровка	Харьковская	916 	1.0
Старобельск	Луганская	23200 	1.0
Староконстантинов	Хмельницкая	36800 	1.0
Старошейка	Житомирская	306 	1.0
Старый Крым	Крым	10700 	1.0
Старый Самбор	Львовская	6100 	1.0
Стаханов	Луганская	99000 	1.0
Стебник	Львовская	22600 	1.0
Сторожинец	Черновицкая	15400 	1.0
Строинцы	Винницкая	1631 	1.0
Стрый	Львовская	68200 	1.0
Судак	Крым	18600 	1.0
Судовая вишня	Львовская	7000 	1.0
Сумы	Сумская	302000 	1.0
Суходольск	Луганская	30000 	1.0
Счастье	Луганская	13600 	1.0
Таврийск	Херсонская	12300 	1.0
Тальное	Черкасская	16900 	1.0
Тараща	Киевская	14400 	1.0
Татарбунары	Одесская	11500 	1.0
Телепино	Черкасская	1652 	1.0
Теплик	Винницкая	6500 	1.0
Теплогорск	Луганская	15900 	1.0
Теплодар	Одесская	10200 	1.0
Теребовля	Тернопольская	15400 	1.0
Терновка	Днепропетровская	32900 	1.0
Тернополь	Тернопольская	235000 	1.0
Тетиев	Киевская	15800 	1.0
Тисалово	Закарпатская	1281 	1.0
Тисменница	Ивано-Франковская	9500 	1.0
Тлумач	Ивано-Франковская	9300 	1.0
Токмак	Запорожская	42300 	1.0
Топоры	Житомирская	1109 	1.0
Торез	Донецкая	89000 	1.0
Триполье	Киевская	3001 	1.0
Тростянец	Сумская	25800 	1.0
Тростянец	Волынская	843 	1.0
Трускавец	Львовская	34200 	1.0
Тульчин	Винницкая	16600 	1.0
Турка	Львовская	7900 	1.0
Тячев	Закарпатская	11200 	1.0
Углегорск	Донецкая	11100 	1.0
Угледар	Донецкая	18500 	1.0
Угнев	Львовская	1200 	1.0
Ужгород	Закарпатская	127000 	1.0
Узин	Киевская	14800 	1.0
Украинка	Киевская	17000 	1.0
Украинск	Донецкая	13900 	1.0
Ульяновка	Кировоградская	7700 	1.0
Умань	Черкасская	92700 	1.0
Урзуф	Донецкая	2264 	1.0
Устилуг	Волынская	2400 	1.0
Фалемичи	Волынская	230 	1.0
Фастов	Киевская	54400 	1.0
Феодосия	Крым	85600 	1.0
